user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x43139414,RealSkipBayless,2018-11-11T20:52:20Z,x1061723321484496897,3621,513,HOW BOUT THAT BAKER MAYFIELD LEADING THE BROWNS TO A 28-16 UPSET OF THE FALCONS (WITH LOTS OF HELP FROM HIS ROOKIE CAMP ROOMMATE NICK CHUBB).,92,0.022254475,44.93478261,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T05:32:05Z,x1061491734402584577,1211,166,"Surprisingly, Tyson Chandler is changing the defensive mindset of the Lakers. The King's Team holding the Kings to only 86 in Sac was pretty impressive.",30,0.021786492,45.9,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-09T14:20:08Z,x1060899844754104320,996,106,Is Dak a bust? @undisputed. 9:30 AM ET. FS1,24,0.021778584,45.91666667,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T17:57:53Z,x1061679420937691136,2954,566,Thank you to all who have served or are serving the Greatest Country in the World in our military. Never forget ... and you are not forgotten. We are forever grateful.,58,0.016477273,60.68965517,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-09T23:03:08Z,x1061031461329850368,1160,164,Dez unfortunately will find Achilles rehab is the longest and toughest of all injuries and sometimes the player just never gets his burst back. Dez will be tested like never before. The good news: He wasn't the quickest/fastest guy any way.,8,0.006042296,165.5,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-09T22:58:26Z,x1061030278494224384,3113,452,Sorry to hear about Dez's awful break. Achilles injuries are the most inexplicably mysterious in sports. They can rupture for no apparent reason while doing nothing risky. Often noncontact. I doubt it had anything to do with his extra weight or not being in football shape.,19,0.005329593,187.6315789,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-09T15:22:22Z,x1060915505874132993,189,26,"Every once in a while, there will just be a tour de force of firepower from Pittsburgh. Last night, we saw it from Big Ben and his weapons on offense. More @Undisputed, now on FS1 https://t.co/yfz2NT5Co1",1,0.004651163,215,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T15:24:46Z,x1060553724194545664,276,28,Don't try to tell me Patrick Mahomes has run away with MVP. Next on @undisputed,1,0.003289474,304,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-09T03:53:03Z,x1060742034166665216,1448,255,"Congrats, LeBron, the 4-6 Rockets just might be clearing a spot in the Western Conference playoffs for the Lakers. They just lost 98-80 to an OKC without Westbrook. They've lost their defensive identity and their offensive flow. They don't even look like a playoff team.",1,5.87E-04,1703,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-09T03:46:05Z,x1060740283636178945,3119,501,"If this Steelers team, with this explosive offense and this pass rush, can't beat Tom Brady THIS time in Pittsburgh, on Dec. 16, the Steelers never will.",2,5.52E-04,1810,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-09T14:25:05Z,x1060901090126778371,120,11,Also today: Will the Steelers win the AFC? Why would Belichick treat Brady like that? Why is Aaron Rodgers getting a pass for throwing so many passes away? Is Greek Freak that good or is Golden State in some trouble? @undisputed. 9:30 AM-Noon ET. FS1,0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T16:56:12Z,x1060576735064813568,225,35,"Dez Bryant used to be the spirit of the Dallas Cowboys offense. But right now, as a Cowboys fan, I will take Amari Cooper over Dez. More @Undisputed, now on FS1 https://t.co/99IbBNGchN",0,0,NA,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-08T16:44:09Z,x1060573702591406081,102,18,"Shannon and I debate why Floyd decided not to fight the ""Uber driver."" Next on @undisputed",0,0,NA,2018-11-12T16:44:00Z
